Слова из hagen.txt на -ого/-его, у которых среди форм нет «род» и «вин».
С ними надо придумать, чё делать.

[г]:
| архистро'го           | прл крат ед ср  |
| босоно'го             | прл крат ед ср  |
| длинноно'го           | прл крат ед ср  |
| до'рого               | нар опред кач   |
| до'рого               | предик          |
| до'рого               | прл крат ед ср  |
| задо'рого             | нар опред спос  |
| коротконо'го          | прл крат ед ср  |
| косоно'го             | прл крат ед ср  |
| кривоно'го            | прл крат ед ср  |
| мно'го                | нар опред степ  |
| мно'го                | предик          |
| мно'го                | числ неопр им   |
| мно'го-много          | нар опред степ  |
| многоно'го            | прл крат ед ср  |
| намно'го              | нар опред степ  |
| на'строго             | нар опред спос  |
| недо'рого             | нар опред спос  |
| недо'рого             | предик          |
| недо'рого             | прл крат ед ср  |
| немно'го              | нар опред степ  |
| немно'го              | числ неопр им   |
| ненамно'го            | нар опред степ  |
| ого'                  | межд            |
| ого'                  | предик          |
| отло'го               | нар опред кач   |
| пе'го                 | прл крат ед ср  |
| поло'го               | нар опред кач   |
| предо'рого            | нар опред кач   |
| премно'го             | нар опред степ  |
| престро'го            | нар опред кач   |
| стро'го               | прл крат ед ср  |
| стро'го               | нар опред кач   |
| стро'го               | предик          |
| строго-на'строго      | нар опред спос  |
| стро`го-престро'го    | нар опред спос  |
| убо'го                | прл крат ед ср  |
| убо'го                | нар опред кач   |
| хромоно'го            | прл крат ед ср  |

[в]:
| без ма'лого           | нар опред степ  |
| без ничего'           | нар опред спос  |
| безо вся'кого         | нар опред спос  |
| в результа`те чего'   | союз            |
| в слу`чае чего'       | нар опред спос  |
| вероя'тнее всего      | предик          |
| вероя'тнее всего      | ввод            |
| всего'                | нар             |
| всего'                | част            |
| всего'                | межд            |
| всего` до'брого       | межд            |
| всего` наилу'чшего    | межд            |
| всего` хоро'шего      | межд            |
| всего`-на'всего       | част            |
| всле`дствие чего'     | союз            |
| до невозмо'жного      | нар опред степ  |
| до смешно'го          | нар опред степ  |
| до того'              | нар обст врем   |
| его'                  | мест прл ед муж |
| его'                  | мест прл ед ср  |
| ещё чего'             | межд            |
| и без того'           | част            |
| и того'               | част            |
| и того` и сего'       | мест сущ        |
| итого'                | нар опред спос  |
| ко`е-отчего'          | мест нар        |
| кро'ме того           | ввод            |
| не' для чего          | предик          |
| не до того'           | предик          |
| не'чего               | предик          |
| ни с того` ни с сего' | нар опред спос  |
| никого'               | предик          |
| ниотчего'             | мест нар        |
| оттого'               | нар обст причин |
| отчего'               | мест нар        |
| отчего'               | союз            |
| по-его'               | нар опред спос  |
| полвосьмо'го          | нар обст врем   |
| полвторо'го           | нар обст врем   |
| полдвена'дцатого      | нар обст врем   |
| полдевя'того          | нар обст врем   |
| полдеся'того          | нар обст врем   |
| полпе'рвого           | нар обст врем   |
| полпя'того            | нар обст врем   |
| полседьмо'го          | нар обст врем   |
| полтре'тьего          | нар обст врем   |
| полчетвё'ртого        | нар обст врем   |
| полшесто'го           | нар обст врем   |
| после чего'           | союз            |
| после э'того          | нар обст врем   |
| про`ще всего'         | предик          |
| пу'ще всего           | нар опред степ  |
| све`рх всего'         | нар опред степ  |
| све`рх всего'         | ввод            |
| све`рх того'          | нар опред степ  |
| све`рх того'          | ввод            |
| скоре`е всего'        | нар опред спос  |
| скоре`й всего'        | нар опред кач   |
| того'                 | част            |
| того'                 | предик          |
| то`лько и всего'      | част            |
| ча`ще всего'          | нар опред спос  |
| шварто'вящего         |                 |
| шварто'вящего         |                 |
| шварто'вящего         |                 |
